"","region","country","mean_life","mean_alcohol","mean_amortality","mean_bmi","mean_water","mean_pop","mean_health_spend","mean_life60","mean_imort","mean_edu","mean_school","mean_gni"
"39","Eastern Mediterranean","Iraq",68.8920388235294,0.171554117647059,175.919817647059,27.8352941176471,88.11031,29196.8097647059,3.057375,18.3049470588235,0.0321026470588235,NA,7.79195,12427.7777777778
"40","Americas","Peru",73.8740323529412,4.82125352941176,137.623711764706,25.8058823529412,85.8879158823529,28592.5148823529,4.78415647058824,20.7649429411765,0.0189679411764706,3.07863705882353,8.7958325,7599.28571428571
"41","Eastern Mediterranean","Afghanistan",60.0986747058824,0.0137883333333333,266.336382352941,22.5176470588235,44.1124011764706,27917.7371176471,9.54498266666667,15.7588888235294,0.0761888235294118,3.45421428571429,NA,1339.16666666667
"42","Europe","Uzbekistan",69.9687152941176,2.00855882352941,158.233735294118,25.7705882352941,93.3386494117647,27819.8839411765,5.50689529411765,18.0707429411765,0.0377985294117647,6.19073,11.4420175,3337.85714285714
"43","Americas","Venezuela (Bolivarian Republic of)",73.2719411764706,7.23423941176471,166.700829411765,26.5058823529412,96.2156105882353,27537.0811176471,6.66213588235294,21.1714023529412,0.0156558823529412,4.72368333333333,8.74267142857143,14340.7142857143
"44","Western Pacific","Malaysia",73.8262576470588,0.523902352941176,134.461664705882,24.7941176470588,97.0459394117647,27106.0912352941,3.21549176470588,18.7999417647059,0.00703147058823529,5.64317625,9.254678,16656.4285714286
"45","Eastern Mediterranean","Saudi Arabia",73.6573358823529,0.0744517647058824,99.8437829411765,27.9705882352941,98.4811076470588,26191.3401764706,4.19142882352941,18.2423352941176,0.0147632352941176,6.388505,7.98755666666667,39168.5714285714
"46","South-East Asia","Nepal",66.4840770588235,0.216196470588235,194.159682352941,21.5647058823529,84.3030276470588,26141.3396470588,4.81094235294118,16.8356605882353,0.0441323529411765,3.64273882352941,3.55485,1692.14285714286
"47","South-East Asia","Democratic People's Republic of Korea",69.2121505882353,3.22987529411765,157.215594117647,23.5058823529412,97.5637988235294,24239.0688823529,NA,16.7925158823529,0.0264420588235294,NA,NA,NA
"48","Africa","Ghana",60.2628835294118,1.48931823529412,280.484382352941,23.3705882352941,72.3749023529412,23677.8967058824,3.83668352941176,15.2568741176471,0.0550405882352941,5.84746785714286,7.58704,2559.28571428571
"49","Africa","Mozambique",53.5368011764706,0.807801764705882,416.941017647059,22.1823529411765,36.0273323529412,22450.5233529412,5.21382941176471,16.7352011764706,0.0855455882352941,5.23346333333333,2.91609,692.142857142857
"50","Eastern Mediterranean","Yemen",63.5070417647059,0.0452052941176471,239.395623529412,23.0705882352941,50.1801941176471,22050.2777647059,5.198850625,16.1169235294118,0.0536679411764706,8.01153666666667,NA,3571.42857142857
"51","Africa","Angola",55.7513682352941,4.72609529411765,297.290982352941,22.5647058823529,48.5590917647059,22047.548,3.00804411764706,16.2309952941176,0.0937882352941176,2.607605,3.99596,4580.71428571429
"52","Western Pacific","Australia",81.5439888235294,10.1247058823529,65.5709035294118,26.7705882352941,99.8409252941177,21437.5755882353,8.35523588235294,24.4925470588235,0.00435117647058824,5.03139307692308,12.2228576923077,33957.8571428571
"53","Europe","Romania",73.2257052941176,10.5247664705882,155.753917647059,25.7882352941176,100,20903.4025882353,5.01634470588235,19.1759923529412,0.0123808823529412,3.4542325,10.6892490909091,11928.5714285714
"54","Africa","Madagascar",62.44618,0.831874117647059,251.770088235294,20.9764705882353,44.0477576470588,20118.4093529412,5.35971588235294,16.5674476470588,0.0508461764705882,2.9953125,NA,1269.28571428571
"55","South-East Asia","Sri Lanka",73.6827194117647,2.17986,148.171935294118,22.3,84.2075164705882,19948.6522352941,3.93418294117647,20.1383394117647,0.0111264705882353,2.03879,10.2604325,6070.71428571429
"56","Africa","Côte d'Ivoire",51.4840582352941,1.95142941176471,437.091817647059,23.2823529411765,71.8153970588235,19820.4445882353,5.40415470588235,13.6997682352941,0.0884879411764706,4.32667588235294,4.45954,2400
"57","Africa","Cameroon",53.8936805882353,5.12867411764706,375.270041176471,23.7764705882353,59.9743717647059,19429.8561176471,4.29269941176471,15.8805664705882,0.0802382352941177,2.754290625,5.2061,2185
"58","Eastern Mediterranean","Syrian Arab Republic",70.2153723529412,0.612661176470588,182.461058823529,27.5588235294118,96.0440770588235,18900.5314117647,3.97602615384615,18.8042094117647,0.0158976470588235,5.19304625,6.0170925,NA
"59","Americas","Chile",78.4341111764706,7.18239882352941,94.1330852941176,27.2764705882353,97.8465976470588,16722.0416470588,7.12208117647059,22.5928005882353,0.00779970588235294,4.037816,9.95495428571428,14067.8571428571
"60","Europe","Netherlands",80.2115635294118,9.21059647058824,68.9048582352941,25.3705882352941,100,16524.7027058824,9.51679117647059,22.9846870588235,0.00406029411764706,5.16885235294118,12.0626941666667,37710
"61","Europe","Kazakhstan",66.8021694117647,4.62823529411765,252.532888235294,25.9470588235294,89.7893041176471,16055.6823529412,3.29683176470588,16.4135523529412,0.0235985294117647,2.768079,11.300785,13872.1428571429
"62","Africa","Niger",54.3894870588235,0.108518823529412,274.962588235294,21.3588235294118,42.8530741176471,15559.0355882353,7.05246235294118,15.4823258823529,0.0765323529411765,4.07453,1.6387,747.857142857143
"63","Africa","Burkina Faso",55.2903070588235,5.77183529411765,294.807335294118,21.6058823529412,51.7704782352941,14855.2322352941,5.03362176470588,14.9087929411765,0.0777820588235294,4.36617111111111,1.08355666666667,1197.14285714286
"64","Americas","Ecuador",74.99884,4.00986,137.199041176471,26.2588235294118,88.0876852941176,14546.4014117647,6.43553470588235,22.6582029411765,0.0230617647058824,4.32938375,8.103813,7675
"65","Africa","Mali",53.7235958823529,0.581144117647059,295.925870588235,22.3411764705882,62.7501623529412,14226.1052352941,4.72440647058824,14.9930652941176,0.0956923529411765,3.42749933333333,1.7402025,1340.71428571429
"66","Americas","Guatemala",70.58156,2.10854294117647,190.942741176471,25.8,89.8125105882353,14047.209,6.21059647058823,20.6440294117647,0.0325238235294118,2.945999,4.777964,6017.85714285714
"67","Western Pacific","Cambodia",64.7303341176471,1.75625529411765,221.203241176471,21.4117647058824,64.5405158823529,13926.5953529412,6.74581588235294,16.5615441176471,0.0495491176470588,1.69450272727273,3.828746,1910.71428571429
"68","Africa","Malawi",54.5776935294118,1.67242117647059,424.618482352941,22.3411764705882,60.4653529411765,13904.1815882353,7.15010411764706,16.2137352941176,0.0698135294117647,4.58647444444444,NA,597.857142857143
"69","Africa","Zambia",53.6050835294118,3.12458,446.703135294118,22.0352941176471,54.4908729411765,13067.4762352941,5.22412764705882,16.1091276470588,0.0668052941176471,2.38569571428571,NA,2184.28571428571
"70","Africa","Zimbabwe",51.2744423529412,2.87546647058824,549.348788235294,23.5588235294118,68.4723382352941,12626.2165294118,7.76651285714286,15.7903282352941,0.0586370588235294,4.93715,7.6529,1519.28571428571
"71","Africa","Senegal",62.1033470588235,0.285886470588235,222.464205882353,22.6058823529412,69.6179511764706,12153.6132941176,4.01280176470588,16.16407,0.0513444117647059,4.189628125,2.23904333333333,1897.14285714286
"72","Eastern Mediterranean","Somalia",52.80396,0.00135058823529412,334.693717647059,22.6588235294118,35.7410923529412,11442.2081176471,NA,15.9462388235294,0.106255,NA,NA,NA
"73","Africa","Chad",50.8316917647059,0.584726470588235,391.524111764706,21.4764705882353,40.1522358823529,11290.0968823529,4.77809176470588,15.4889770588235,0.0964852941176471,2.21877888888889,1.5817,1367.85714285714
"74","Americas","Cuba",78.0046805882353,4.19443764705882,102.877982941176,25.0941176470588,94.2013847058823,11245.7086470588,9.71279117647059,22.1183723529412,0.00505794117647059,10.6679609090909,10.753945,13340
"75","Europe","Greece",80.0152552941177,8.09983882352941,74.9302211764706,26.9705882352941,99.8430529411765,10976.3195294118,8.62862923076923,23.0750641176471,0.00376588235294118,3.51326166666667,10.30937625,24719.2857142857
"76","Europe","Belgium",79.7681505882353,10.8952376470588,84.6779411764706,25.8352941176471,99.9999994117647,10789.6039411765,9.44867764705882,23.1537488235294,0.00379411764705882,6.40280444444444,11.542372,34739.2857142857
"77","Europe","Portugal",79.3913235294118,11.3514664705882,91.0120947058823,25.7176470588235,99.3354652941177,10472.1057647059,9.13066,23.0559,0.00351029411764706,5.124555,7.83716058823529,22035
"78","Eastern Mediterranean","Tunisia",74.5370294117647,1.29807235294118,101.35883,25.7294117647059,91.7369676470588,10448.1216470588,5.90132117647059,19.4564988235294,0.0175747058823529,6.38400692307692,6.785106,8140
"79","Europe","Czechia",77.1125205882353,13.2812088235294,103.456958235294,26.7588235294118,99.8448241176471,10423.5988235294,6.69263352941176,20.7324347058824,0.00315294117647059,4.20363588235294,12.3842854545455,21493.5714285714
"80","Europe","Hungary",73.9622658823529,12.0170147058824,162.054447058824,26.6,99.9677041176471,9988.90152941177,7.34914647058824,19.3134476470588,0.00594823529411765,4.90965588235294,11.699327,16920
"81","Africa","Guinea",55.4606505882353,0.231143529411765,305.580094117647,22.4058823529412,62.8606094117647,9825.89088235294,3.68405235294118,14.64933,0.0827955882352941,2.28524066666667,1.780325,1014.28571428571
"82","Americas","Bolivia (Plurinational State of)",67.8310005882353,3.11281647058824,211.074717647059,25.6235294117647,86.1443347058824,9723.427,5.33149235294118,19.7773847058824,0.0436920588235294,NA,7.72228666666667,4340
"83","Africa","Rwanda",59.4168205882353,7.90673058823529,303.258617647059,21.5176470588235,51.3665141176471,9653.50605882353,7.32746764705882,17.1159347058824,0.0621870588235294,4.36733727272727,3.91241,1001.42857142857
"84","Americas","Haiti",59.9550158823529,3.15488294117647,298.483035294118,24.3176470588235,61.0721494117647,9649.39711764706,7.07839058823529,17.3030829411765,0.0656370588235294,2.87700666666667,NA,1531
"85","Europe","Belarus",70.2428552941176,12.37057,222.379717647059,26.1941176470588,97.9907394117647,9539.03323529412,5.68878352941177,17.5266370588235,0.00531882352941176,5.20583153846154,11.33366,11446.4285714286
"86","Americas","Dominican Republic",71.4019458823529,5.84068,191.486294117647,25.7,93.3896688235294,9449.49164705882,5.09507764705882,21.35677,0.0298741176470588,1.932314,7.79617875,7944.28571428571
"87","Europe","Sweden",81.1619417647059,6.96117647058824,62.2297205882353,25.6411764705882,100,9282.36876470588,9.20394529411765,23.6896347058824,0.00269852941176471,6.92834235294118,12.4052184615385,36215.7142857143
"88","Europe","Serbia",74.4650629411765,8.39681545454545,120.274358823529,25.6764705882353,91.1653776470588,9102.77535294118,8.63478058823529,18.6275511764706,0.00752470588235294,4.13583,10.2991611111111,9202.14285714286
"89","Europe","Azerbaijan",70.2353341176471,1.50830235294118,138.514441176471,26.2470588235294,83.5165076470588,8867.06117647059,5.26947588235294,17.8971094117647,0.0410679411764706,2.89438411764706,10.563657,9477.85714285714
